idx,phase,games,prize_decided,deckout_share,true_result,attach_zero_visit,attack_zero_visit,attack_avail,attack_chosen,game_length_hist
1,Warm-up 1/4,25,0/25,100.0%,"P0_WINS=15,P1_WINS=10,DRAWS=0",11.40%(87/763),55.88%(19/34),34,7,1-15:0|16-25:3|26-40:21|41-60:1|61+:0
2,Warm-up 1/4,25,7/25,72.0%,"P0_WINS=11,P1_WINS=14,DRAWS=0",18.85%(147/780),25.58%(187/731),731,187,1-15:0|16-25:9|26-40:16|41-60:0|61+:0
3,Warm-up 1/4,25,21/25,0.0%,"P0_WINS=11,P1_WINS=14,DRAWS=0",19.70%(105/533),2.86%(6/210),210,94,1-15:4|16-25:6|26-40:12|41-60:3|61+:0
4,Warm-up 1/4,25,5/25,60.0%,"P0_WINS=12,P1_WINS=13,DRAWS=0",0.75%(8/1068),27.38%(305/1114),1114,485,1-15:1|16-25:2|26-40:1|41-60:8|61+:13
5,Warm-up 1/4,25,5/25,48.0%,"P0_WINS=10,P1_WINS=15,DRAWS=0",5.45%(85/1561),2.96%(20/675),675,398,1-15:3|16-25:3|26-40:3|41-60:3|61+:13
6,Warm-up 1/4,25,5/25,76.0%,"P0_WINS=8,P1_WINS=17,DRAWS=0",2.03%(11/541),46.04%(157/341),341,40,1-15:4|16-25:2|26-40:5|41-60:7|61+:7
7,Warm-up 2/4,25,1/25,96.0%,"P0_WINS=5,P1_WINS=20,DRAWS=0",10.34%(89/861),48.15%(13/27),27,8,1-15:0|16-25:8|26-40:14|41-60:3|61+:0
8,Warm-up 2/4,25,2/25,92.0%,"P0_WINS=11,P1_WINS=14,DRAWS=0",26.97%(233/864),46.45%(216/465),465,123,1-15:1|16-25:4|26-40:10|41-60:10|61+:0
9,Warm-up 2/4,25,17/25,16.0%,"P0_WINS=12,P1_WINS=13,DRAWS=0",26.90%(202/751),16.33%(64/392),392,158,1-15:2|16-25:9|26-40:6|41-60:6|61+:2
10,Warm-up 2/4,25,9/25,36.0%,"P0_WINS=12,P1_WINS=13,DRAWS=0",15.58%(146/937),17.01%(180/1058),1058,540,1-15:4|16-25:2|26-40:2|41-60:6|61+:11
11,Warm-up 2/4,25,3/25,52.0%,"P0_WINS=11,P1_WINS=14,DRAWS=0",34.44%(635/1844),20.13%(124/616),616,270,1-15:3|16-25:3|26-40:2|41-60:1|61+:16
12,Warm-up 2/4,25,3/25,64.0%,"P0_WINS=9,P1_WINS=16,DRAWS=0",9.85%(115/1167),43.42%(188/433),433,40,1-15:5|16-25:3|26-40:1|41-60:8|61+:8
13,Warm-up 3/4,25,1/25,96.0%,"P0_WINS=15,P1_WINS=10,DRAWS=0",22.56%(213/944),56.90%(33/58),58,15,1-15:0|16-25:9|26-40:16|41-60:0|61+:0
14,Warm-up 3/4,25,5/25,80.0%,"P0_WINS=17,P1_WINS=8,DRAWS=0",23.85%(217/910),36.94%(198/536),536,148,1-15:2|16-25:0|26-40:16|41-60:7|61+:0
15,Warm-up 3/4,25,19/23,4.3%,"P0_WINS=10,P1_WINS=13,DRAWS=2",33.91%(253/746),10.80%(46/426),426,206,1-15:4|16-25:9|26-40:8|41-60:2|61+:2
16,Warm-up 3/4,25,3/25,44.0%,"P0_WINS=18,P1_WINS=7,DRAWS=0",20.80%(235/1130),23.16%(223/963),963,464,1-15:4|16-25:3|26-40:2|41-60:5|61+:11
17,Warm-up 3/4,25,0/25,36.0%,"P0_WINS=7,P1_WINS=18,DRAWS=0",39.87%(695/1743),22.37%(100/447),447,169,1-15:6|16-25:3|26-40:1|41-60:2|61+:13
18,Warm-up 3/4,25,3/25,68.0%,"P0_WINS=11,P1_WINS=14,DRAWS=0",25.52%(329/1289),36.49%(131/359),359,38,1-15:2|16-25:5|26-40:1|41-60:7|61+:10
19,Warm-up 4/4,25,2/25,92.0%,"P0_WINS=14,P1_WINS=11,DRAWS=0",12.77%(125/979),29.17%(14/48),48,18,1-15:0|16-25:6|26-40:16|41-60:3|61+:0
20,Warm-up 4/4,25,2/25,92.0%,"P0_WINS=11,P1_WINS=14,DRAWS=0",27.92%(234/838),43.80%(205/468),468,106,1-15:0|16-25:7|26-40:16|41-60:2|61+:0
21,Warm-up 4/4,25,13/25,40.0%,"P0_WINS=13,P1_WINS=12,DRAWS=0",31.71%(450/1419),6.07%(45/741),741,397,1-15:1|16-25:3|26-40:4|41-60:5|61+:12
22,Warm-up 4/4,25,1/25,28.0%,"P0_WINS=11,P1_WINS=14,DRAWS=0",28.90%(439/1519),17.43%(156/895),895,534,1-15:3|16-25:3|26-40:5|41-60:1|61+:13
23,Warm-up 4/4,25,3/25,44.0%,"P0_WINS=9,P1_WINS=16,DRAWS=0",44.28%(743/1678),2.61%(14/537),537,309,1-15:3|16-25:7|26-40:1|41-60:0|61+:14
24,Warm-up 4/4,25,2/25,80.0%,"P0_WINS=11,P1_WINS=14,DRAWS=0",25.04%(355/1418),42.48%(144/339),339,29,1-15:4|16-25:1|26-40:2|41-60:8|61+:10
25,Main 1/25,25,3/25,88.0%,"P0_WINS=14,P1_WINS=11,DRAWS=0",16.83%(193/1147),34.44%(31/90),90,28,1-15:0|16-25:3|26-40:18|41-60:4|61+:0
26,Main 1/25,25,9/25,60.0%,"P0_WINS=15,P1_WINS=10,DRAWS=0",35.41%(381/1076),23.16%(110/475),475,210,1-15:1|16-25:4|26-40:8|41-60:5|61+:7
27,Main 1/25,25,8/25,36.0%,"P0_WINS=12,P1_WINS=13,DRAWS=0",29.61%(429/1449),14.40%(108/750),750,363,1-15:3|16-25:2|26-40:2|41-60:8|61+:10
28,Main 1/25,25,4/25,64.0%,"P0_WINS=14,P1_WINS=11,DRAWS=0",32.76%(516/1575),34.67%(147/424),424,129,1-15:2|16-25:2|26-40:3|41-60:9|61+:9
29,Main 1/25,25,7/25,68.0%,"P0_WINS=11,P1_WINS=14,DRAWS=0",22.34%(237/1061),36.56%(68/186),186,84,1-15:1|16-25:7|26-40:10|41-60:6|61+:1
30,Main 1/25,25,2/25,84.0%,"P0_WINS=12,P1_WINS=13,DRAWS=0",26.55%(296/1115),11.97%(31/259),259,137,1-15:1|16-25:2|26-40:13|41-60:8|61+:1
31,Main 2/25,25,1/25,92.0%,"P0_WINS=11,P1_WINS=14,DRAWS=0",11.05%(104/941),18.02%(20/111),111,14,1-15:1|16-25:8|26-40:12|41-60:4|61+:0
32,Main 2/25,25,2/25,88.0%,"P0_WINS=8,P1_WINS=17,DRAWS=0",20.93%(190/908),38.79%(147/379),379,109,1-15:1|16-25:3|26-40:14|41-60:7|61+:0
33,Main 2/25,25,14/25,20.0%,"P0_WINS=15,P1_WINS=10,DRAWS=0",39.69%(462/1164),8.32%(39/469),469,241,1-15:2|16-25:6|26-40:8|41-60:1|61+:8
34,Main 2/25,25,2/25,52.0%,"P0_WINS=10,P1_WINS=15,DRAWS=0",40.60%(713/1756),18.01%(58/322),322,114,1-15:5|16-25:3|26-40:3|41-60:2|61+:12
35,Main 2/25,25,3/25,72.0%,"P0_WINS=15,P1_WINS=10,DRAWS=0",22.88%(265/1158),40.26%(122/303),303,68,1-15:2|16-25:4|26-40:9|41-60:5|61+:5
36,Main 2/25,25,3/25,72.0%,"P0_WINS=14,P1_WINS=11,DRAWS=0",21.04%(230/1093),29.14%(81/278),278,120,1-15:1|16-25:4|26-40:9|41-60:9|61+:2
37,Main 3/25,25,5/25,72.0%,"P0_WINS=12,P1_WINS=13,DRAWS=0",21.67%(229/1057),35.65%(77/216),216,53,1-15:1|16-25:4|26-40:13|41-60:6|61+:1
38,Main 3/25,25,1/25,92.0%,"P0_WINS=12,P1_WINS=13,DRAWS=0",14.83%(179/1207),46.53%(67/144),144,36,1-15:2|16-25:1|26-40:10|41-60:9|61+:3
39,Main 3/25,25,14/24,33.3%,"P0_WINS=11,P1_WINS=13,DRAWS=1",30.09%(207/688),21.98%(71/323),323,110,1-15:2|16-25:11|26-40:8|41-60:3|61+:1
40,Main 3/25,25,4/25,52.0%,"P0_WINS=13,P1_WINS=12,DRAWS=0",31.33%(637/2033),17.36%(159/916),916,398,1-15:3|16-25:1|26-40:3|41-60:2|61+:16
